,eta,delta,LA=0,LA=1,LA=2,LA=3,LA=4,LA=5,LA=6,LA=7,LA=8
0,0.02,0.02,-4.9675094224678725e-16,0.6931471805599463,1.2825515114101436,1.864293214570877,2.3177820048687026,2.740487051805698,3.0139861885002825,3.2318243208872692,3.2768508375804313
1,0.04,0.02,-3.750966822303354e-16,0.6931471805599461,1.2740912103380608,1.8462892370926163,2.2898085227835483,2.7035636826474527,2.9702515861919077,3.1859448231680334,3.2308121562629575
2,0.06,0.02,-3.995149480337817e-16,0.6931471805599458,1.270511568651351,1.8365610292028898,2.2749642232413874,2.682628503800497,2.946089390483964,3.158504722995984,3.2053366944938393
3,0.08,0.02,-2.8328847514333513e-16,0.6931471805599458,1.2692070903292891,1.8314888940063228,2.2675614950819947,2.6708742764865927,2.93356170196307,3.142178466233831,3.192135746237797
4,0.1,0.02,-4.3140404443201185e-16,0.6931471805599457,1.2690829606835996,1.8289676740947016,2.2645087683476484,2.6642527972138024,2.927764108549233,3.13234175005483,3.185917981717228
5,0.12000000000000001,0.02,-4.0616923886741104e-16,0.6931471805599457,1.2696052007279934,1.8278238507900153,2.263972727560028,2.660475094286423,2.925728180716346,3.1261706442349895,3.183499095310694
6,0.13999999999999999,0.02,-3.871482670038686e-16,0.6931471805599457,1.2704954400419812,1.8274117072067126,2.264835217216061,2.658235135826722,2.925631156995829,3.12195527426826,3.182940655942839
7,0.16,0.02,-4.585226512713053e-16,0.6931471805599457,1.2715966971007886,1.8273711186882498,2.2663980795392824,2.656774404566668,2.9263484440709777,3.1186770328253495,3.1830594342155516
8,0.18,0.02,-3.7403280884858264e-16,0.6931471805599457,1.2728129841772309,1.8274970445996912,2.2682224614255704,2.65565233537911,2.927205069298059,3.115754370255138,3.1831603462121407
9,0.19999999999999998,0.02,-3.755540800218515e-16,0.6931471805599457,1.274082577748552,1.8276725714039188,2.2700408682917748,2.654624183035812,2.927830106907055,3.1128878562538986,3.1828809981702677
10,0.22,0.02,-3.6095800827476575e-16,0.6931471805599457,1.2753653830676925,1.827833434165703,2.2717032332160025,2.653569255329259,2.928058591810165,3.1099573065894455,3.1820845277157987
11,0.24,0.02,-4.721700461174666e-16,0.6931471805599457,1.2766358421960136,1.827947536215337,2.2731387154928684,2.6524434176345952,2.9278575147866133,3.1069484646758174,3.1807762974390714
12,0.26,0.02,-4.777435229103999e-16,0.6931471805599457,1.2778782048545168,1.828002169401083,2.274326907640973,2.6512460754267195,2.9272693787259927,3.103900998228867,3.1790392816384276
13,0.28,0.02,-4.34212805685107e-16,0.6931471805599457,1.2790831455379412,1.8279957951738282,2.27527668213579,2.6499978913064846,2.926371828030195,3.100874122833482,3.176987825072839
14,0.30000000000000004,0.02,-4.718278448067765e-16,0.6931471805599458,1.2802453863528798,1.8279328383764464,2.276011704827535,2.6487268875887233,2.9252515794397445,3.0979263890127333,3.1747382531984965
15,0.32,0.02,-4.404096987272202e-16,0.6931471805599458,1.2813621191306246,1.8278205281652102,2.2765613562781364,2.64746071839745,2.9239896953079896,3.0951057616311393,3.1723929525412085
16,0.34,0.02,-4.2672164629958993e-16,0.6931471805599458,1.2824320264470586,1.8276670902267922,2.276955600172074,2.6462230594613882,2.92265480118283,3.092446322862373,3.1700338341544514
17,0.36000000000000004,0.02,-4.1635057489340817e-16,0.6931471805599458,1.2834547129478087,1.8274807840113325,2.2772224478168765,2.6450324597397863,2.921301221898243,3.089968680639714,3.1677215075105867
18,0.38,0.02,-4.504622857452335e-16,0.6931471805599458,1.2844303934019008,1.8272694363697097,2.2773869668112177,2.6439024857453,2.9199697700925875,3.087682076887184,3.165497414023209
19,0.4,0.02,-5.138643959131128e-16,0.6931471805599458,1.2853597280156634,1.8270402480180774,2.2774711144836948,2.6428424249087903,2.9186897012440243,3.0855869862595675,3.1633871291047018
20,0.42000000000000004,0.02,-4.986516841804261e-16,0.6931471805599458,1.2862437353239726,1.8267997390836987,2.2774939536517147,2.64185813674308,2.917480970219161,3.083677572417782,3.1614038080213263
21,0.44,0.02,-5.050688057888243e-16,0.6931471805599458,1.287083742637872,1.826553758604502,2.277472003774933,2.640952849176013,2.916356348297732,3.0819437337574977,3.1595512681215463
22,0.46,0.02,-4.492798277508666e-16,0.693147180559946,1.287881353364819,1.8263075178703012,2.2774196031128704,2.6401278179281324,2.9153232174770274,3.0803726753989995,3.1578265199835096
23,0.48000000000000004,0.02,-5.138881128356364e-16,0.693147180559946,1.288638421773511,1.8260656265997754,2.277349226693631,2.639382828644277,2.914384999609712,3.0789500451780927,3.1562217299969544
